Station Number,Station Name,Province,Status,Latitude,Longitude,Year From,Year To,Gross Drainage Area (km2),Effective Drainage Area (km2),Regulation,Data Type,Operation Schedule,Sediment,RHBN,Real-Time,Datum Name,Publishing Office,Operating Agency,Contributed
05AB015,WILLOW CREEK NEAR GRANUM,AB,Discontinued,49.88333,-113.55,1924,1941,2000,1840,N,Flow,Seasonal,N,N,N,,CALGARY,,N
05AB016,LETHBRIDGE NORTHERN IRRIGATION DISTRICT CANAL AT MENZAGHIES BRIDGE,AB,Discontinued,49.7275,-113.55,1925,1985,,,R,Flow,Seasonal,Y,N,N,ASSUMED DATUM,CALGARY,,N
05AB017,LETHBRIDGE NORTHERN IRRIGATION DISTRICT MUD LAKE CANAL NEAR MACLEOD,AB,Discontinued,49.73333,-113.54556,1924,1926,,,R,Flow,Seasonal,N,N,N,,CALGARY,,N
05AB018,LETHBRIDGE NORTHERN IRRIGATION DISTRICT CANAL AT SYPHON SPILLWAY,AB,Discontinued,49.68056,-113.61389,1924,1932,,,R,Flow,Seasonal,N,N,N,,CALGARY,,N
05AB019,LETHBRIDGE NORTHERN IRRIGATION DISTRICT CANAL ABOVE OLDMAN FLUME,AB,Active,49.68706,-113.57692,1930,2022,,,R,Flow and Level,Seasonal,N,N,Y,ASSUMED DATUM,CALGARY,,N
05AB020,LETHBRIDGE NORTHERN IRRIGATION DISTRICT CANAL BELOW OLDMAN FLUME,AB,Discontinued,49.69861,-113.56167,1925,1932,,,R,Flow,Seasonal,N,N,N,,CALGARY,,N
05AB021,WILLOW CREEK NEAR CLARESHOLM,AB,Active,50.01852,-113.71484,1944,2022,1180,1120,R,Flow and Level,Continuous,Y,N,Y,ASSUMED DATUM,CALGARY,,N
05AB022,WEST STREETER CREEK NEAR NANTON,AB,Discontinued,50.10806,-114.06639,1970,1974,1.37,1.37,N,Flow,Miscellaneous,Y,N,N,ASSUMED DATUM,CALGARY,,N
05AB023,MIDDLE STREETER CREEK NEAR NANTON,AB,Discontinued,50.10861,-114.05,1970,1974,0.91,0.91,N,Flow,Miscellaneous,Y,N,N,ASSUMED DATUM,CALGARY,,N
05AB024,EAST STREETER CREEK NEAR NANTON,AB,Discontinued,50.10861,-114.04944,1970,1974,0.52,0.52,N,Flow,Miscellaneous,Y,N,N,ASSUMED DATUM,CALGARY,,N
05AB025,WEST STREETER SPRING NO. 1 NEAR NANTON,AB,Discontinued,50.10556,-114.06778,1964,1983,,,N,Flow,Continuous,N,N,N,,CALGARY,,N
05AB026,MIDDLE STREETER SPRING NO. 1 NEAR NANTON,AB,Discontinued,50.10889,-114.05111,1964,1977,,,N,Flow,Continuous,N,N,N,ASSUMED DATUM,CALGARY,,N
05AB027,EAST STREETER SPRING NO. 1 NEAR NANTON,AB,Discontinued,50.10972,-114.04889,1964,1979,,,N,Flow,Continuous,N,N,N,,CALGARY,,N
05AB028,WILLOW CREEK ABOVE CHAIN LAKES,AB,Discontinued,50.19639,-114.21278,1965,1995,162,162,N,Flow,Continuous,Y,N,N,ASSUMED DATUM,CALGARY,,N
05AB029,MEADOW CREEK NEAR THE MOUTH,AB,Active,49.95413,-113.66354,1966,2022,130,130,N,Flow and Level,Seasonal,Y,N,Y,ASSUMED DATUM,CALGARY,,N
05AB030,STREETER CREEK (MAIN STEM) NEAR NANTON,AB,Discontinued,50.12333,-114.05556,1966,1986,5.96,5.96,N,Flow,Seasonal,Y,N,N,ASSUMED DATUM,CALGARY,,N
05AB031,LETHBRIDGE NORTHERN IRRIGATION DISTRICT CANAL NEAR WILLOW CREEK FLUME,AB,Discontinued,49.78611,-113.51667,1924,1926,,,R,Flow,Seasonal,N,N,N,,CALGARY,,N
05AB032,LETHBRIDGE NORTHERN IRRIGATION DISTRICT CANAL AT HEADGATES,AB,Discontinued,49.66667,-113.6,1925,1980,,,R,Flow,Seasonal,N,N,N,ASSUMED DATUM,CALGARY,ALBERTA ENVIRONMENTAL PROTECTION,Y
05AB033,LETHBRIDGE NORTHERN IRRIGATION DISTRICT CANAL AT INDIAN BRIDGE,AB,Discontinued,49.69722,-113.6,1924,1924,,,R,Flow,Seasonal,N,N,N,,CALGARY,,N
05AB035,MIDDLE STREETER SPRING NO. 2 NEAR NANTON,AB,Discontinued,50.105,-114.05333,1968,1983,,,N,Flow,Continuous,N,N,N,,CALGARY,,N
05AB036,MCINTOSH SPRING NO. 1 NEAR NANTON,AB,Discontinued,50.10917,-114.03667,1968,1977,,,N,Flow,Continuous,N,N,N,ASSUMED DATUM,CALGARY,,N
05AB037,CHAIN LAKES RESERVOIR NEAR NANTON,AB,Active,50.20184,-114.19006,1988,2022,213,213,R,Level,Continuous,N,N,Y,GEODETIC SURVEY OF CANADA DATUM,CALGARY,,N
05AB038,KYISKAP CREEK NEAR GRANUM,AB,Discontinued,49.81528,-113.59028,1977,1993,191,180,N,Flow,Seasonal,N,N,N,ASSUMED DATUM,CALGARY,,N
05AB039,WILLOW CREEK BELOW LANE CREEK,AB,Discontinued,50.14028,-113.93917,1977,1997,727,727,R,Flow,Seasonal,N,N,N,ASSUMED DATUM,CALGARY,,N
05AB040,WILLOW CREEK AT SECONDARY NO. 532,AB,Active,50.24177,-114.35117,1996,2022,65.3,65.3,N,Flow and Level,Seasonal,N,N,Y,ASSUMED DATUM,CALGARY,,N
05AB041,WILLOW CREEK AT OXLY RANCH,AB,Active,50.1291,-113.84663,1997,2022,833,833,R,Flow and Level,Seasonal,N,N,Y,ASSUMED DATUM,CALGARY,,N
05AB042,PINE COULEE DIVERSION CANAL BELOW HEAD GATES,AB,Active,50.128,-113.78713,1999,2022,,,R,Flow and Level,Seasonal,N,N,Y,ASSUMED DATUM,CALGARY,,N
05AB044,PINE COULEE RESERVOIR NEAR STAVELY,AB,Active,50.12167,-113.74902,1999,2022,85.7,75.2,R,Level,Seasonal,N,N,Y,APPROXIMATE GEODETIC SURVEY OF CANADA DATUM,CALGARY,,N
05AB045,PINE COULEE OUTFLOW BELOW RESERVOIR,AB,Active,50.12018,-113.75108,1999,2022,85.7,75.2,R,Flow and Level,Seasonal,N,N,Y,ASSUMED DATUM,CALGARY,,N
05AB046,WILLOW CREEK AT HIGHWAY NO. 811,AB,Active,49.75476,-113.40726,1999,2022,2510,2170,,Flow,Seasonal,N,N,Y,ASSUMED DATUM,CALGARY,ALBERTA ENVIRONMENTAL PROTECTION,Y
05AC001,MOSQUITO CREEK NEAR NANTON,AB,Discontinued,50.37611,-113.8275,1908,1919,522,522,N,Flow,Seasonal,N,N,N,,CALGARY,,N
05AC002,NANTON CREEK NEAR NANTON,AB,Discontinued,50.35972,-113.82611,1908,1919,120,120,R,Flow,Seasonal,N,N,N,,CALGARY,,N
05AC003,LITTLE BOW RIVER AT CARMANGAY,AB,Active,50.12765,-113.11819,1918,2022,2780,1270,R,Flow and Level,Continuous,N,N,Y,ASSUMED DATUM,CALGARY,,N
05AC004,BOW RIVER DEVELOPMENT MAIN CANAL,AB,Discontinued,50.74611,-113.02139,1918,2004,,,R,Flow,Seasonal,N,N,N,ASSUMED DATUM,CALGARY,,N
05AC005,FRANK LAKE NEAR HIGH RIVER,AB,Discontinued,50.57778,-113.7,1918,1936,400,400,,Level,Seasonal,N,N,N,GEODETIC SURVEY OF CANADA DATUM,CALGARY,,N
05AC006,KEHO LAKE RESERVOIR NEAR ALBION RIDGE,AB,Discontinued,49.95,-112.95278,1924,1930,78,,R,Level,Seasonal,N,N,N,LNID EAST DATUM,CALGARY,,N
05AC007,CANADA LAND AND IRRIGATION CO. CANAL NEAR SOUTH DAM LAKE MCGREGOR,AB,Discontinued,50.28333,-112.81667,1923,1926,,,R,Flow,Seasonal,N,N,N,,CALGARY,,N
05AC008,CANADA LAND AND IRRIGATION CO. LITTLE BOW RESERVOIR NEAR TRAVERS,AB,Discontinued,50.21667,-112.66667,1926,1928,,,R,Level,Seasonal,N,N,N,ASSUMED DATUM,CALGARY,,N
05AC009,LETHBRIDGE NORTHERN IRRIGATION DISTRICT CANAL AT INLET TO KEHO LAKE,AB,Discontinued,51.64611,-115.01806,1925,1930,,,R,Flow,Seasonal,N,N,N,,CALGARY,,N
05AC010,LETHBRIDGE NORTHERN IRRIGATION DISTRICT - TURIN BRANCH CANAL,AB,Discontinued,49.95,-112.95,1924,1973,,,R,Flow,Seasonal,N,N,N,,CALGARY,LETHBRIDGE NORTHERN IRRIGATION DISTRICT,Y
05AC011,LETHBRIDGE NORTHERN IRRIGATION DISTRICT - MONARCH BRANCH CANAL,AB,Discontinued,49.88333,-113.2,1932,1976,,,R,Flow,Seasonal,N,N,N,,CALGARY,LETHBRIDGE NORTHERN IRRIGATION DISTRICT,Y
05AC012,LITTLE BOW RIVER BELOW TRAVERS DAM,AB,Active,50.1712,-112.72277,1957,2022,5340,2820,R,Flow and Level,Continuous,N,N,Y,ASSUMED DATUM,CALGARY,,N
05AC013,BOW RIVER DEVELOPMENT WESTERN BLOCK LATERAL A NEAR HEADGATE,AB,Discontinued,50.19167,-112.58333,1959,1993,,,R,Flow,Seasonal,N,N,N,ASSUMED DATUM,CALGARY,ALBERTA ENVIRONMENTAL PROTECTION,Y
05AC014,BOW RIVER DEVELOPMENT WESTERN BLOCK LATERAL A2 NEAR HEADGATE,AB,Discontinued,50.18611,-112.57222,1959,1976,,,R,Flow,Seasonal,N,N,N,ASSUMED DATUM,CALGARY,,N
05AC015,BOW RIVER DEVELOPMENT WESTERN BLOCK LATERAL B NEAR HEADGATE,AB,Discontinued,50.15556,-112.49722,1959,1977,,,R,Flow,Seasonal,N,N,N,ASSUMED DATUM,CALGARY,,N
05AC016,BOW RIVER DEVELOPMENT WESTERN BLOCK LATERAL C NEAR HEADGATE,AB,Discontinued,50.12778,-112.41111,1959,1977,,,R,Flow,Seasonal,N,N,N,ASSUMED DATUM,CALGARY,,N
05AC017,LOMOND LATERAL NEAR HEADGATE,AB,Active,50.21455,-112.66189,1959,2022,,,R,Flow and Level,Seasonal,N,N,Y,ASSUMED DATUM,CALGARY,,N
05AC018,CANADA LAND AND IRRIGATION CO. CANAL AT DROP 7B,AB,Discontinued,50.23333,-112.33333,1927,1929,,,R,Flow,Seasonal,N,N,N,,CALGARY,,N
05AC019,CANADA LAND AND IRRIGATION CO. CANAL INLET TO LITTLE BOW RESERVOIR,AB,Discontinued,50.2,-112.71667,1923,1929,,,R,Flow,Seasonal,N,N,N,,CALGARY,,N
05AC020,CANADA LAND AND IRRIGATION CO. CANAL AT OUTLET LITTLE BOW RESERVOIR,AB,Discontinued,50.2,-112.61667,1923,1929,,,R,Flow,Seasonal,N,N,N,,CALGARY,,N
05AC021,CANADA LAND AND IRRIGATION CO. CANAL NEAR RETLAW,AB,Discontinued,50.125,-112.25,1924,1926,,,R,Flow,Seasonal,N,N,N,,CALGARY,,N
05AC022,LAKE MCGREGOR AT SOUTH DAM,AB,Active,50.27861,-112.82639,2007,2022,1000,794,R,Level,Continuous,N,N,Y,GEODETIC SURVEY OF CANADA DATUM,CALGARY,ALBERTA ENVIRONMENTAL PROTECTION,Y
05AC023,LITTLE BOW RIVER NEAR THE MOUTH,AB,Active,49.89987,-112.50553,1973,2022,5900,3280,R,Flow and Level,Seasonal,N,N,Y,ASSUMED DATUM,CALGARY,,N
05AC024,MCGREGOR LAKE INFLOW NEAR MILO,AB,Discontinued,50.58889,-112.92361,1976,1993,,,R,Flow,Seasonal,N,N,N,ASSUMED DATUM,CALGARY,,N
05AC025,MCGREGOR TRAVERS CANAL NEAR CHAMPION,AB,Discontinued,50.25417,-112.81667,1976,2007,,,R,Flow,Seasonal,N,N,N,ASSUMED DATUM,CALGARY,,N
05AC026,LETHBRIDGE NORTHERN IRRIGATION DISTRICT CANAL BELOW KEHO OUTFLOW,AB,Discontinued,49.95,-112.9375,1977,1992,,,R,Flow,Seasonal,N,N,N,GEODETIC SURVEY OF CANADA DATUM,CALGARY,ALBERTA ENVIRONMENTAL PROTECTION,Y
05AC027,BOW RIVER DEVELOPMENT MAIN CANAL BELOW LITTLE BOW RESERVOIR,AB,Discontinued,50.2,-112.625,1977,1979,,,R,Flow,Seasonal,N,N,N,ASSUMED DATUM,CALGARY,ALBERTA ENVIRONMENTAL PROTECTION,Y
05AC028,L.N.I.D. - MONARCH BRANCH CANAL BELOW MONARCH HEADGATES,AB,Discontinued,49.88333,-113.18333,1977,1993,,,R,Flow,Seasonal,N,N,N,,CALGARY,ALBERTA ENVIRONMENTAL PROTECTION,Y
05AC029,LETHBRIDGE NORTHERN IRRIGATION DISTRICT CANAL BELOW MONARCH HEADGATES,AB,Discontinued,49.9075,-113.18028,1977,1988,,,R,Flow,Seasonal,N,N,N,ASSUMED DATUM,CALGARY,ALBERTA ENVIRONMENTAL PROTECTION,Y
05AC030,SNAKE CREEK NEAR VULCAN,AB,Active,50.47247,-112.91402,1980,2022,350,346,N,Flow and Level,Seasonal,N,N,Y,ASSUMED DATUM,CALGARY,,N
05AC031,MOSQUITO CREEK NEAR THE MOUTH,AB,Active,50.25185,-113.55414,1981,2022,958,754,R,Flow and Level,Seasonal,N,N,Y,ASSUMED DATUM,CALGARY,,N
05AC032,CLEAR LAKE NEAR STAVELY,AB,Discontinued,50.13639,-113.41306,1983,1984,348,132,N,Level,Seasonal,N,N,N,ASSUMED DATUM,CALGARY,,N
05AC033,CLEAR BROOK NEAR STAVELY,AB,Discontinued,50.15694,-113.45806,1983,1986,182,109,,Flow,Seasonal,N,N,N,ASSUMED DATUM,CALGARY,,N
05AC034,LITTLE BOW RIVER ABOVE TRAVERS RESERVOIR,AB,Active,50.20417,-112.97778,1992,2022,,,,Flow,Seasonal,N,N,Y,,CALGARY,ALBERTA ENVIRONMENTAL PROTECTION,Y
05AC901,CLEAR LAKE NEAR STAVELY,AB,Active,50.13333,-113.41111,2002,2022,,,,Level,Seasonal,N,N,N,GEODETIC SURVEY OF CANADA DATUM,CALGARY,ALBERTA ENVIRONMENTAL PROTECTION,Y
05AC902,BOW RIVER DEVELOPMENT MAIN CANAL AT DROP NO. 3,AB,Active,50.15694,-112.53333,1981,2022,,,R,Flow,Seasonal,N,N,Y,GEODETIC SURVEY OF CANADA DATUM,CALGARY,ALBERTA ENVIRONMENTAL PROTECTION,Y
05AC909,WOMANS COULEE AT 690 AVE NEAR MOSQUITO CREEK,AB,Discontinued,50.42806,-113.96583,1999,2000,,,N,Flow,Seasonal,N,N,N,ASSUMED DATUM,CALGARY,,N
05AC911,LITTLE BOW RIVER BELOW FRANK LAKE,AB,Discontinued,50.46444,-113.62611,2000,2000,,,,Flow,Seasonal,N,N,N,ASSUMED DATUM,CALGARY,ALBERTA ENVIRONMENTAL PROTECTION,Y
05AC917,SQUAW COULEE DIVERSION BELOW SQUAW COULEE DAM,AB,Discontinued,50.52639,-113.92556,1985,1993,,,R,Flow,Seasonal,N,N,N,,CALGARY,ALBERTA ENVIRONMENTAL PROTECTION,Y
05AC918,L.N.I.D.CANAL AT DROP NO. 6,AB,Discontinued,49.975,-113.1,1985,1985,,,R,Flow,Seasonal,N,N,N,,CALGARY,ALBERTA ENVIRONMENTAL PROTECTION,Y
05AC919,KEHO LAKE NEAR NOBLEFORD,AB,Active,49.95556,-112.95833,1990,2022,77.5,77.5,R,Level,Seasonal,N,N,Y,GEODETIC SURVEY OF CANADA DATUM,CALGARY,ALBERTA ENVIRONMENTAL PROTECTION,Y
05AC921,TRAVERS RESERVOIR NEAR ENCHANT,AB,Active,50.17667,-112.6875,1990,2022,5340,2820,R,Level,Seasonal,N,N,Y,GEODETIC SURVEY OF CANADA DATUM,CALGARY,ALBERTA ENVIRONMENTAL PROTECTION,Y
05AC922,LITTLE BOW RESERVOIR NEAR ENCHANT,AB,Active,50.20611,-112.66722,1990,2022,26.5,26.5,R,Level,Seasonal,N,N,Y,GEODETIC SURVEY OF CANADA DATUM,CALGARY,ALBERTA ENVIRONMENTAL PROTECTION,Y
05AC924,MOSQUITO CREEK AT HIGHWAY NO. 534,AB,Discontinued,50.39778,-113.98056,1999,2000,,,N,Flow,Seasonal,N,N,N,ASSUMED DATUM,CALGARY,ALBERTA ENVIRONMENTAL PROTECTION,Y
05AC926,MOSQUITO CREEK UPSTREAM NANTON AT HWY NO. 2,AB,Discontinued,50.37333,-113.79694,1999,2000,,,N,Flow,Seasonal,N,N,N,ASSUMED DATUM,CALGARY,ALBERTA ENVIRONMENTAL PROTECTION,Y
05AC927,NANTON CREEK AT HIGHWAY NO. 2,AB,Discontinued,50.35972,-113.78889,1999,2000,,,N,Flow,Seasonal,N,N,N,ASSUMED DATUM,CALGARY,ALBERTA ENVIRONMENTAL PROTECTION,Y
05AC928,LITTLE BOW RIVER AT HIGHWAY NO. 2,AB,Discontinued,50.54111,-113.8275,1999,2000,,,N,Flow,Seasonal,N,N,N,ASSUMED DATUM,CALGARY,ALBERTA ENVIRONMENTAL PROTECTION,Y
05AC929,FRANK LAKE BASIN 3 OUTLET AT 594 AVE.,AB,Discontinued,50.51389,-113.68917,1999,2000,,,,Flow,Seasonal,N,N,N,ASSUMED DATUM,CALGARY,ALBERTA ENVIRONMENTAL PROTECTION,Y
05AC930,LITTLE BOW RIVER AT HIGHWAY NO. 533,AB,Active,50.35417,-113.54306,1999,2022,,,N,Flow,Seasonal,N,N,N,ASSUMED DATUM,CALGARY,ALBERTA ENVIRONMENTAL PROTECTION,Y
05AC937,MOSQUITO CREEK BELOW CLEAR LAKE DIVERSION,AB,Discontinued,50.23722,-113.47778,2004,2004,,,,Flow,Seasonal,N,N,N,,CALGARY,ALBERTA ENVIRONMENTAL PROTECTION,Y
05AC938,CLEAR LAKE DIVERSION CANAL BELOW HEADGATE,AB,Active,50.23722,-113.47778,2002,2022,,,R,Flow,Seasonal,N,N,N,GEODETIC SURVEY OF CANADA DATUM,CALGARY,ALBERTA ENVIRONMENTAL PROTECTION,Y
05AC939,CLEAR LAKE DIVERSION HEADPOND ABOVE HEADGATE,AB,Active,50.23694,-113.48083,2002,2022,,,R,Level,Seasonal,N,N,N,GEODETIC SURVEY OF CANADA DATUM,CALGARY,ALBERTA ENVIRONMENTAL PROTECTION,Y
05AC940,TWIN VALLEY RESERVOIR AT HIGHWAY NO. 529,AB,Active,50.23333,-113.40333,2005,2022,1950,1050,,Level,Continuous,N,N,N,GEODETIC SURVEY OF CANADA DATUM,CALGARY,ALBERTA ENVIRONMENTAL PROTECTION,Y
05AC941,LITTLE BOW RIVER BELOW TWIN VALLEY RESERVOIR,AB,Active,50.22481,-113.39664,2004,2022,1960,1050,R,Flow,Seasonal,N,N,N,,CALGARY,ALBERTA ENVIRONMENTAL PROTECTION,Y
05AD001,MAMI CREEK AT MOUNTAIN VIEW,AB,Discontinued,49.13333,-113.58333,1910,1936,56.7,56.7,N,Flow,Seasonal,N,N,N,,CALGARY,,N
05AD002,BELLY RIVER NEAR STAND OFF,AB,Discontinued,49.47778,-113.30278,1912,1984,1210,1130,R,Flow,Continuous,Y,N,N,ASSUMED DATUM,CALGARY,,N
05AD003,WATERTON RIVER NEAR WATERTON PARK,AB,Active,49.11366,-113.8394,1912,2022,613,613,N,Flow and Level,Continuous,N,Y,Y,ASSUMED DATUM,CALGARY,,N
05AD004,CROOKED CREEK NEAR WATERTON PARK,AB,Discontinued,49.12917,-113.81111,1925,1965,49,49,N,Flow,Miscellaneous,N,N,N,,CALGARY,,N
05AD005,BELLY RIVER NEAR MOUNTAIN VIEW,AB,Active,49.0996,-113.69772,1911,2022,319,319,R,Flow and Level,Continuous,Y,N,Y,ASSUMED DATUM,CALGARY,,N
05AD006,CAMERON CREEK AT WATERTON PARK,AB,Discontinued,49.05167,-113.91583,1916,1920,78.7,78.7,N,Flow,Continuous,N,N,N,,CALGARY,,N
