location,date ,year,heatdome,count,commonname,pollution
bowker creek,20-Aug-20,2020,pre,0,Alderfly larva,somewhat pollution tolerant
bowker creek,20-Aug-20,2020,pre,0,Aquatic Beetle,somewhat pollution tolerant
bowker creek,20-Aug-20,2020,pre,0,Aquatic Sowbug,somewhat pollution tolerant
bowker creek,20-Aug-20,2020,pre,0,"Clam, Mussel",somewhat pollution tolerant
bowker creek,20-Aug-20,2020,pre,0,Cranefly Larva,somewhat pollution tolerant
bowker creek,20-Aug-20,2020,pre,0,Crayfish,somewhat pollution tolerant
bowker creek,20-Aug-20,2020,pre,0,Damselfy Larva,somewhat pollution tolerant
bowker creek,20-Aug-20,2020,pre,0,Dragonfly Larva,somewhat pollution tolerant
bowker creek,20-Aug-20,2020,pre,0,Fishfly Larva,somewhat pollution tolerant
bowker creek,20-Aug-20,2020,pre,0,Scud,somewhat pollution tolerant
bowker creek,20-Aug-20,2020,pre,0,Watersnipe Larva,somewhat pollution tolerant
bowker creek,20-Aug-20,2020,pre,0,Aquatic Worm,pollution tolerant
bowker creek,20-Aug-20,2020,pre,0,Blackfly Larva,pollution tolerant
bowker creek,20-Aug-20,2020,pre,0,Leech,pollution tolerant
bowker creek,20-Aug-20,2020,pre,0,Midge Larva (chironomid),pollution tolerant
bowker creek,20-Aug-20,2020,pre,0,Planarian,pollution tolerant
bowker creek,20-Aug-20,2020,pre,0,Pouch Snail,pollution tolerant
bowker creek,20-Aug-20,2020,pre,0,Truebug Adult,pollution tolerant
bowker creek,20-Aug-20,2020,pre,0,Water Mite,pollution tolerant
bowker creek,29-Sep-21,2021,post,0,Caddisfly,intolerant
bowker creek,29-Sep-21,2021,post,0,Dobsonfly,intolerant
bowker creek,29-Sep-21,2021,post,0,Gilled Snail,intolerant
bowker creek,29-Sep-21,2021,post,0,Mayfly,intolerant
bowker creek,29-Sep-21,2021,post,0,Riffle Beetle,intolerant
bowker creek,29-Sep-21,2021,post,0,Stonefly,intolerant
bowker creek,29-Sep-21,2021,post,0,Water Penny,intolerant
bowker creek,29-Sep-21,2021,post,0,Alderfly larva,somewhat pollution tolerant
bowker creek,29-Sep-21,2021,post,0,Aquatic Beetle,somewhat pollution tolerant
bowker creek,29-Sep-21,2021,post,7,Aquatic Sowbug,somewhat pollution tolerant
bowker creek,29-Sep-21,2021,post,0,"Clam, Mussel",somewhat pollution tolerant
bowker creek,29-Sep-21,2021,post,3,Cranefly Larva,somewhat pollution tolerant
bowker creek,29-Sep-21,2021,post,0,Crayfish,somewhat pollution tolerant
bowker creek,29-Sep-21,2021,post,0,Damselfy Larva,somewhat pollution tolerant
bowker creek,29-Sep-21,2021,post,0,Dragonfly Larva,somewhat pollution tolerant
bowker creek,29-Sep-21,2021,post,0,Fishfly Larva,somewhat pollution tolerant
bowker creek,29-Sep-21,2021,post,8,Scud,somewhat pollution tolerant
bowker creek,29-Sep-21,2021,post,0,Watersnipe Larva,somewhat pollution tolerant
bowker creek,29-Sep-21,2021,post,25,Aquatic Worm,pollution tolerant
bowker creek,29-Sep-21,2021,post,0,Blackfly Larva,pollution tolerant
bowker creek,29-Sep-21,2021,post,4,Leech,pollution tolerant
bowker creek,29-Sep-21,2021,post,25,Midge Larva (chironomid),pollution tolerant
bowker creek,29-Sep-21,2021,post,0,Planarian,pollution tolerant
bowker creek,29-Sep-21,2021,post,0,Pouch Snail,pollution tolerant
bowker creek,29-Sep-21,2021,post,0,Truebug Adult,pollution tolerant
bowker creek,29-Sep-21,2021,post,1,Water Mite,pollution tolerant
bowker creek,3-Oct-20,2020,pre,0,Caddisfly,intolerant
bowker creek,3-Oct-20,2020,pre,0,Dobsonfly,intolerant
bowker creek,3-Oct-20,2020,pre,0,Gilled Snail,intolerant
bowker creek,3-Oct-20,2020,pre,0,Mayfly,intolerant
bowker creek,3-Oct-20,2020,pre,0,Riffle Beetle,intolerant
bowker creek,3-Oct-20,2020,pre,0,Stonefly,intolerant
bowker creek,3-Oct-20,2020,pre,0,Water Penny,intolerant
bowker creek,3-Oct-20,2020,pre,0,Alderfly larva,somewhat pollution tolerant
bowker creek,3-Oct-20,2020,pre,0,Aquatic Beetle,somewhat pollution tolerant
bowker creek,3-Oct-20,2020,pre,3,Aquatic Sowbug,somewhat pollution tolerant
bowker creek,3-Oct-20,2020,pre,0,"Clam, Mussel",somewhat pollution tolerant
bowker creek,3-Oct-20,2020,pre,0,Cranefly Larva,somewhat pollution tolerant
bowker creek,3-Oct-20,2020,pre,0,Crayfish,somewhat pollution tolerant
bowker creek,3-Oct-20,2020,pre,0,Damselfy Larva,somewhat pollution tolerant
bowker creek,3-Oct-20,2020,pre,0,Dragonfly Larva,somewhat pollution tolerant
bowker creek,3-Oct-20,2020,pre,0,Fishfly Larva,somewhat pollution tolerant
bowker creek,3-Oct-20,2020,pre,28,Scud,somewhat pollution tolerant
bowker creek,3-Oct-20,2020,pre,0,Watersnipe Larva,somewhat pollution tolerant
bowker creek,3-Oct-20,2020,pre,7,Aquatic Worm,pollution tolerant
bowker creek,3-Oct-20,2020,pre,0,Blackfly Larva,pollution tolerant
bowker creek,3-Oct-20,2020,pre,3,Leech,pollution tolerant
bowker creek,3-Oct-20,2020,pre,0,Midge Larva (chironomid),pollution tolerant
bowker creek,3-Oct-20,2020,pre,0,Planarian,pollution tolerant
bowker creek,3-Oct-20,2020,pre,0,Pouch Snail,pollution tolerant
bowker creek,3-Oct-20,2020,pre,0,Truebug Adult,pollution tolerant
bowker creek,3-Oct-20,2020,pre,0,Water Mite,pollution tolerant
bowker creek,5-Oct-20,2020,pre,1,Caddisfly,intolerant
bowker creek,5-Oct-20,2020,pre,2,Dobsonfly,intolerant
bowker creek,5-Oct-20,2020,pre,0,Gilled Snail,intolerant
bowker creek,5-Oct-20,2020,pre,0,Mayfly,intolerant
bowker creek,5-Oct-20,2020,pre,0,Riffle Beetle,intolerant
bowker creek,5-Oct-20,2020,pre,0,Stonefly,intolerant
bowker creek,5-Oct-20,2020,pre,0,Water Penny,intolerant
bowker creek,5-Oct-20,2020,pre,0,Alderfly larva,somewhat pollution tolerant
bowker creek,5-Oct-20,2020,pre,0,Aquatic Beetle,somewhat pollution tolerant
bowker creek,5-Oct-20,2020,pre,0,Aquatic Sowbug,somewhat pollution tolerant
bowker creek,5-Oct-20,2020,pre,0,"Clam, Mussel",somewhat pollution tolerant
bowker creek,5-Oct-20,2020,pre,0,Cranefly Larva,somewhat pollution tolerant
bowker creek,5-Oct-20,2020,pre,1,Crayfish,somewhat pollution tolerant
bowker creek,5-Oct-20,2020,pre,0,Damselfy Larva,somewhat pollution tolerant
bowker creek,5-Oct-20,2020,pre,0,Dragonfly Larva,somewhat pollution tolerant
bowker creek,5-Oct-20,2020,pre,0,Fishfly Larva,somewhat pollution tolerant
bowker creek,5-Oct-20,2020,pre,9,Scud,somewhat pollution tolerant
bowker creek,5-Oct-20,2020,pre,0,Watersnipe Larva,somewhat pollution tolerant
bowker creek,5-Oct-20,2020,pre,27,Aquatic Worm,pollution tolerant
bowker creek,5-Oct-20,2020,pre,7,Blackfly Larva,pollution tolerant
bowker creek,5-Oct-20,2020,pre,1,Leech,pollution tolerant
bowker creek,5-Oct-20,2020,pre,2,Midge Larva (chironomid),pollution tolerant
bowker creek,5-Oct-20,2020,pre,2,Planarian,pollution tolerant
bowker creek,5-Oct-20,2020,pre,0,Pouch Snail,pollution tolerant
bowker creek,5-Oct-20,2020,pre,0,Truebug Adult,pollution tolerant
bowker creek,5-Oct-20,2020,pre,2,Water Mite,pollution tolerant
