csv file name,R script file name (if have),study organism(s),broad taxa,superbroadtaxa,"location description (e.g., park, city etc)",ecosystem,marine_terr,latitude,longitude,observational or experimental data,dates data collected,data authors,how data were collected,description of variables,using dataset
fig3_interior_shrubs,fig3_interior_shrubs.R,"prickly rose, saskatoon berry",plant,algae/plant,"elephant hill fire, interior doug fir, burned",forest/alpine,terrestrial,50.7665143,-121.35105,observational,2021,"sarah dickson-hoyle, lori daniels, bert williams",see methods in MS,,y
fig3_interior_shrubs,fig3_interior_shrubs.R,"prickly rose, saskatoon berry",plant,algae/plant,"elephant hill fire, ms, unburned",forest/alpine,terrestrial,51.0560289,-121.14856,observational,2021,"sarah dickson-hoyle, lori daniels, bert williams",see methods in MS,,y
treehole_invertebrate_mortality,fig3_treehole.R,insects,insects,algae/plant,lower mainland,urban,terrestrial,49.23986,-123.0246,observational,2021 and 2022,Diane,see methods in MS,,y
bat_2020day and bat_2021day,fig3_bat_data.R,bats,bats,vertebrate,ubc farm,urban,terrestrial,49.25057,-123.23828,observational,2020 and 2021,matt mitchell,see methods,,y
surf_scoter2021.csv,fig3_surf_scoter.R,surf scoter,birds,vertebrate,Bamfield,coast,terrestrial,48.8352,-125.1365,observational,2021,???,see methods,,y
surf_scoter2021.csv,fig3_surf_scoter.R,surf scoter,birds,vertebrate,Broughton Strait,coast,terrestrial,50.5833,-127,observational,2021,???,see methods,,y
surf_scoter2021.csv,fig3_surf_scoter.R,surf scoter,birds,vertebrate,Cortes Island,coast,terrestrial,50.0754,-124.955,observational,2021,???,see methods,,y
surf_scoter2021.csv,fig3_surf_scoter.R,surf scoter,birds,vertebrate,Comox,coast,terrestrial,49.6726,-124.9287,observational,2021,???,see methods,,y
surf_scoter2021.csv,fig3_surf_scoter.R,surf scoter,birds,vertebrate,Deep Bay,coast,terrestrial,49.4657,-124.7362,observational,2021,???,see methods,,y
surf_scoter2021.csv,fig3_surf_scoter.R,surf scoter,birds,vertebrate,Denny Island-Bella Bella,coast,terrestrial,52.1377,-128.0714,observational,2021,???,see methods,,y
surf_scoter2021.csv,fig3_surf_scoter.R,surf scoter,birds,vertebrate,Duncan,coast,terrestrial,48.7882,-123.6714,observational,2021,???,see methods,,y
surf_scoter2021.csv,fig3_surf_scoter.R,surf scoter,birds,vertebrate,Galiano-North Saltspring,coast,terrestrial,48.9069,-123.4589,observational,2021,???,see methods,,y
surf_scoter2021.csv,fig3_surf_scoter.R,surf scoter,birds,vertebrate,Hecate Strait,coast,terrestrial,53.7829,-131.1669,observational,2021,???,see methods,,y
surf_scoter2021.csv,fig3_surf_scoter.R,surf scoter,birds,vertebrate,Kitimat,coast,terrestrial,54.0592,-128.6777,observational,2021,???,see methods,,y
surf_scoter2021.csv,fig3_surf_scoter.R,surf scoter,birds,vertebrate,Ladner,coast,terrestrial,49.0538,-123.0573,observational,2021,???,see methods,,y
surf_scoter2021.csv,fig3_surf_scoter.R,surf scoter,birds,vertebrate,Ladysmith,coast,terrestrial,48.9754,-123.78,observational,2021,???,see methods,,y
surf_scoter2021.csv,fig3_surf_scoter.R,surf scoter,birds,vertebrate,Lasqueti Island,coast,terrestrial,49.5169,-124.2781,observational,2021,???,see methods,,y
surf_scoter2021.csv,fig3_surf_scoter.R,surf scoter,birds,vertebrate,Greater Masset,coast,terrestrial,54.0464,-132.1903,observational,2021,???,see methods,,y
surf_scoter2021.csv,fig3_surf_scoter.R,surf scoter,birds,vertebrate,Nanoose Bay,coast,terrestrial,49.285,-124.1357,observational,2021,???,see methods,,y
surf_scoter2021.csv,fig3_surf_scoter.R,surf scoter,birds,vertebrate,Nanaimo,coast,terrestrial,49.1668,-123.9333,observational,2021,???,see methods,,y
surf_scoter2021.csv,fig3_surf_scoter.R,surf scoter,birds,vertebrate,Port Alberni,coast,terrestrial,49.2573,-124.814,observational,2021,???,see methods,,y
surf_scoter2021.csv,fig3_surf_scoter.R,surf scoter,birds,vertebrate,Pender Islands,coast,terrestrial,48.814,-123.1973,observational,2021,???,see methods,,y
surf_scoter2021.csv,fig3_surf_scoter.R,surf scoter,birds,vertebrate,Powell River,coast,terrestrial,49.8182,-124.4457,observational,2021,???,see methods,,y
surf_scoter2021.csv,fig3_surf_scoter.R,surf scoter,birds,vertebrate,Parksville-Qualicum Beach,coast,terrestrial,49.3458,-124.36,observational,2021,???,see methods,,y
surf_scoter2021.csv,fig3_surf_scoter.R,surf scoter,birds,vertebrate,Rose Spit,coast,terrestrial,54.0004,-131.6668,observational,2021,???,see methods,,y
surf_scoter2021.csv,fig3_surf_scoter.R,surf scoter,birds,vertebrate,Sunshine Coast,coast,terrestrial,49.4668,-123.6167,observational,2021,???,see methods,,y
surf_scoter2021.csv,fig3_surf_scoter.R,surf scoter,birds,vertebrate,Skidegate Inlet,coast,terrestrial,53.2112,-131.9876,observational,2021,???,see methods,,y
surf_scoter2021.csv,fig3_surf_scoter.R,surf scoter,birds,vertebrate,Sooke,coast,terrestrial,48.3442,-123.6719,observational,2021,???,see methods,,y
surf_scoter2021.csv,fig3_surf_scoter.R,surf scoter,birds,vertebrate,Sidney-South Saltspring,coast,terrestrial,48.6956,-123.4278,observational,2021,???,see methods,,y
surf_scoter2021.csv,fig3_surf_scoter.R,surf scoter,birds,vertebrate,Tlell,coast,terrestrial,53.5636,-131.9423,observational,2021,???,see methods,,y
surf_scoter2021.csv,fig3_surf_scoter.R,surf scoter,birds,vertebrate,Vancouver,coast,terrestrial,49.2603,-123.105,observational,2021,???,see methods,,y
surf_scoter2021.csv,fig3_surf_scoter.R,surf scoter,birds,vertebrate,Victoria,coast,terrestrial,48.4667,-123.4,observational,2021,???,see methods,,y
surf_scoter2021.csv,fig3_surf_scoter.R,surf scoter,birds,vertebrate,White Rock-Surrey-Langley,coast,terrestrial,49.062,-122.7289,observational,2021,???,see methods,,y
