response_id,unique_species,study_id,species,comparison_type,response_def,response_type,response_units,realm,movement,mean_control,mean_treatment,var_control,var_treatment,samp_control,samp_treatment,larger_group,ecosystem,plant,crop,response_type_broad
1,1,songbirds,Catharus ustulatus,temporal_post,calls/day,behaviour,calls/day,terrestrial,motile,100.09478672985782,111.72093023255815,89.74418947275063,97.4731514912076,211,129,birds,NA,NA,NA,indirect
1,2,songbirds,Contopus cooperi,temporal_post,calls/day,behaviour,calls/day,terrestrial,motile,7.653846153846154,10.568965517241379,13.111744702408986,20.313431792579326,104,58,birds,NA,NA,NA,indirect
1,3,songbirds,Contopus sordidulus,temporal_post,calls/day,behaviour,calls/day,terrestrial,motile,13.541666666666666,7.235294117647059,16.76429738064398,12.326442165953168,24,17,birds,NA,NA,NA,indirect
1,4,songbirds,Leiothlypis celata,temporal_post,calls/day,behaviour,calls/day,terrestrial,motile,12.866666666666667,7.204545454545454,19.544357776707702,8.622791717181034,60,44,birds,NA,NA,NA,indirect
1,5,songbirds,Regulus calendula,temporal_post,calls/day,behaviour,calls/day,terrestrial,motile,4.684210526315789,8.857142857142858,7.849380991829051,21.010957081016503,57,28,birds,NA,NA,NA,indirect
1,6,songbirds,Troglodytes pacificus,temporal_post,calls/day,behaviour,calls/day,terrestrial,motile,28.814432989690722,36.950819672131146,40.379793290525484,52.617305844341175,97,61,birds,NA,NA,NA,indirect
1,1,Mammals_McClement_2022,Alces alces,temporal_during,daily detections,behaviour,counts,terrestrial,motile,5.75,3.625,3.5355339059327378,1.9226098333849673,8,8,mammals,NA,NA,NA,indirect
1,2,Mammals_McClement_2022,Canis lupus,temporal_during,daily detections,behaviour,counts,terrestrial,motile,1.875,2,1.5526475085202969,2.0701966780270626,8,8,mammals,NA,NA,NA,indirect
1,3,Mammals_McClement_2022,Lepus americanus,temporal_during,daily detections,behaviour,counts,terrestrial,motile,6.25,4.875,1.4880476182856899,3.1367635732209265,8,8,mammals,NA,NA,NA,indirect
1,4,Mammals_McClement_2022,Odocoileus hemionus,temporal_during,daily detections,behaviour,counts,terrestrial,motile,4.25,2.5,1.8322507626258087,1.7728105208558367,8,8,mammals,NA,NA,NA,indirect
1,5,Mammals_McClement_2022,Rangifer tarandus,temporal_during,daily detections,behaviour,counts,terrestrial,motile,4.375,2.875,3.2923070504261465,1.807721533549109,8,8,mammals,NA,NA,NA,indirect
1,6,Mammals_McClement_2022,Tamiasciurus hudsonicus,temporal_during,daily detections,behaviour,counts,terrestrial,motile,2.625,1.75,1.5979898086569353,1.0350983390135313,8,8,mammals,NA,NA,NA,indirect
1,1,Mammals_McClement_2022,Alces alces,temporal_post,daily detections,behaviour,counts,terrestrial,motile,5.75,5.833333333333333,3.5355339059327378,3.763863263545405,8,6,mammals,NA,NA,NA,indirect
1,2,Mammals_McClement_2022,Canis lupus,temporal_post,daily detections,behaviour,counts,terrestrial,motile,1.875,0.8333333333333334,1.5526475085202969,0.752772652709081,8,6,mammals,NA,NA,NA,indirect
1,3,Mammals_McClement_2022,Lepus americanus,temporal_post,daily detections,behaviour,counts,terrestrial,motile,6.25,4.5,1.4880476182856899,2.258317958127243,8,6,mammals,NA,NA,NA,indirect
1,4,Mammals_McClement_2022,Odocoileus hemionus,temporal_post,daily detections,behaviour,counts,terrestrial,motile,4.25,6.166666666666667,1.8322507626258087,1.4719601443879744,8,6,mammals,NA,NA,NA,indirect
1,5,Mammals_McClement_2022,Rangifer tarandus,temporal_post,daily detections,behaviour,counts,terrestrial,motile,4.375,2.1666666666666665,3.2923070504261465,1.4719601443879744,8,6,mammals,NA,NA,NA,indirect
1,6,Mammals_McClement_2022,Tamiasciurus hudsonicus,temporal_post,daily detections,behaviour,counts,terrestrial,motile,2.625,1.5,1.5979898086569353,0.5477225575051661,8,6,mammals,NA,NA,NA,indirect
1,1,Hesketh_Harley_2022,Semibalanus cariosus,spatial,survival,abundance/survival,percent,marine,sessile,82.95163554532624,37.445929967649754,32.42787940122952,38.44751754782586,12,12,marine invertebrates,NA,NA,NA,NA
2,2,Hesketh_Harley_2022,Balanus glandula,spatial,recruitment,abundance/survival,abundance,marine,sessile,197.58333333333331,82.08333333333334,170.03018894159695,116.41888189037918,12,12,marine invertebrates,NA,NA,NA,NA
2,1,Hesketh_Harley_2022,Chthamalus dalli,spatial,recruitment,abundance/survival,abundance,marine,sessile,17,13.25,13.348476249438292,13.046246412456936,12,12,marine invertebrates,NA,NA,NA,NA
2,1,Hesketh_Harley_2022,Semibalanus cariosus,spatial,recruitment,abundance/survival,abundance,marine,sessile,8.333333333333332,0.16666666666666669,12.63712663927088,0.38924947208076144,12,12,marine invertebrates,NA,NA,NA,NA
1,1,Baum_Lab,acrosiphonia,temporal_during,abundance,abundance/survival,percent_cover,marine,sessile,1.1199999999999994,0.4000000000000001,1.7869900204906952,1.6072751268321586,25,25,algae,NA,NA,NA,NA
1,1,Baum_Lab,acrosiphonia,temporal_post,abundance,abundance/survival,percent_cover,marine,sessile,1.1199999999999994,0.18518518518518523,1.7869900204906952,0.4833407013879895,25,27,algae,NA,NA,NA,NA
1,3,Baum_Lab,fucus,temporal_during,abundance,abundance/survival,percent_cover,marine,sessile,11.239999999999998,5.360000000000001,20.035967658189115,11.430514715736416,25,25,algae,NA,NA,NA,NA
1,3,Baum_Lab,fucus,temporal_post,abundance,abundance/survival,percent_cover,marine,sessile,11.239999999999998,4.962962962962964,20.035967658189115,8.846909418989563,25,27,algae,NA,NA,NA,NA
1,2,Baum_Lab,ulva,temporal_during,abundance,abundance/survival,percent_cover,marine,sessile,8.440000000000001,11.040000000000003,15.335362184615445,18.07733387421939,25,25,algae,NA,NA,NA,NA
1,2,Baum_Lab,ulva,temporal_post,abundance,abundance/survival,percent_cover,marine,sessile,8.440000000000001,13.962962962962964,15.335362184615445,17.363714334743463,25,27,algae,NA,NA,NA,NA
1,6,Baum_Lab,red,temporal_during,abundance,abundance/survival,percent_cover,marine,sessile,22.92,6.92,15.997187252764157,6.738694235532577,25,25,algae,NA,NA,NA,NA
1,6,Baum_Lab,red,temporal_post,abundance,abundance/survival,percent_cover,marine,sessile,22.92,6.962962962962963,15.997187252764157,7.030053514849828,25,27,algae,NA,NA,NA,NA
1,4,Baum_Lab,kelp,temporal_during,abundance,abundance/survival,percent_cover,marine,sessile,10.4,3.919999999999999,19.29810007919605,9.050414355155237,25,25,algae,NA,NA,NA,NA
1,4,Baum_Lab,kelp,temporal_post,abundance,abundance/survival,percent_cover,marine,sessile,10.4,4.9259259259259265,19.29810007919605,10.295353417649244,25,27,algae,NA,NA,NA,NA
1,5,Baum_Lab,phyllospadix,temporal_during,abundance,abundance/survival,percent_cover,marine,sessile,0.9599999999999999,0.44,3.3600595232822896,1.3564659966250543,25,25,plants,NA,NA,NA,NA
1,5,Baum_Lab,phyllospadix,temporal_post,abundance,abundance/survival,percent_cover,marine,sessile,0.9599999999999999,0.7037037037037035,3.3600595232822896,2.728972965658225,25,27,plants,NA,NA,NA,NA
